x,y,z,vx,vy,vz,pressure,type
3.28063212e-04,4.81596695e-04,-1.38241979e-03,-1.84234706e-03,3.89698659e-02,-3.29824528e-02,1.35025722e+03,0
3.55216532e-04,5.63183574e-04,-1.38012575e-03,-9.14403474e-03,5.89212578e-02,-2.36684514e-03,0.00000000e+00,0
5.63084008e-04,3.07808073e-04,-1.26182250e-03,3.41876483e-02,-4.05525272e-02,-6.56229604e-03,9.64439323e+02,0
7.35559687e-04,3.34338640e-04,-1.18489795e-03,4.99044420e-03,-8.41355166e-03,4.98195070e-02,0.00000000e+00,0
7.99170036e-04,3.74056902e-04,-1.15306095e-03,1.48041300e-02,1.20147393e-02,1.98744743e-02,0.00000000e+00,0
8.30290252e-04,4.53974524e-04,-1.13993780e-03,2.69057081e-02,-3.50163384e-03,1.80806113e-02,0.00000000e+00,0
-1.22299388e-03,6.23078743e-04,-7.12495150e-04,-1.14098970e-02,-2.75049180e-02,1.21241872e-02,1.13190502e+03,0
-1.13596168e-03,5.40531507e-04,-8.56232653e-04,-3.82595711e-02,-4.15626488e-02,-1.09095617e-02,1.02955733e+03,0
-9.81918436e-04,6.47266560e-04,-1.02341631e-03,-1.46709810e-02,3.78376902e-02,-1.59356397e-02,1.32639641e+03,0
-1.03540836e-03,5.34614717e-04,-9.78352572e-04,-2.51797189e-02,-1.72121462e-02,-1.87696672e-02,1.28510890e+03,0
-7.73038999e-04,5.07211399e-04,-1.19034711e-03,2.89667628e-02,-3.72400732e-02,8.80233008e-03,0.00000000e+00,0
-6.26192738e-04,4.43084803e-04,-1.27046068e-03,-2.24634912e-03,2.68150309e-02,-8.92369424e-03,0.00000000e+00,0
-5.49793024e-04,4.05472383e-04,-1.30080887e-03,5.88574571e-03,2.93895550e-02,6.00148755e-04,0.00000000e+00,0
-4.88629119e-04,4.64792548e-04,-1.33438616e-03,-1.73260807e-02,5.65914838e-03,3.50172532e-03,0.00000000e+00,0
-2.63357337e-04,4.48272073e-04,-1.39889339e-03,-2.91778194e-02,-2.60312421e-03,1.54866365e-02,0.00000000e+00,0
-3.52064781e-04,5.56358290e-04,-1.38213625e-03,-1.45554873e-02,4.02060238e-03,3.22114256e-02,0.00000000e+00,0
-2.73351405e-04,5.33138324e-04,-1.39757693e-03,-3.58535826e-02,2.16549725e-02,1.58837454e-02,7.85197850e+02,0
-1.04887430e-04,3.82369229e-04,-1.40767823e-03,-2.08653102e-02,5.49451374e-03,-3.08266150e-02,1.45048860e+03,0
1.77482347e-04,5.24414998e-04,-1.41650232e-03,1.97361504e-02,3.76646754e-02,1.89066081e-02,0.00000000e+00,0
2.68412571e-04,5.38941867e-04,-1.40017567e-03,2.25872370e-03,3.34044022e-02,3.52914323e-03,1.08715493e+03,0
7.28144484e-05,2.73458328e-04,-1.37867832e-03,-5.84812380e-03,-5.43306789e-03,-3.54450706e-02,1.33074980e+03,0
1.79615910e-04,7.55208960e-04,-1.40152473e-03,1.69696131e-02,2.23862282e-03,6.53191528e-03,0.00000000e+00,0
2.88724045e-04,6.21280048e-04,-1.39663477e-03,2.35232595e-03,-5.56098911e-03,4.31732282e-02,0.00000000e+00,0
4.95808741e-04,4.96496627e-04,-1.32645340e-03,4.92161614e-03,2.78427683e-02,-3.96035520e-02,1.33071199e+03,0
